Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PROD_ID,SF_SKU,SPICEPREFIX,SUPPLIER
A0,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
A1,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
BAT,,SN2032,SN2032,LI BATTERY,,,,,,,,,
C1,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,C,
C2,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,C,
C3,0.1uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,,,
C4,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,C,
C5,,C-EUC0402,C0402,"CAPACITOR, European symbol",,,,,,,,C,
C6,,C-EUC0402,C0402,"CAPACITOR, European symbol",,,,,,,,C,
C7,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,C,
C8,100nF,C-EUC0603,C0603,"CAPACITOR, European symbol",,,,,,,,C,
D9,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
GND,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
ISP1,,MA03-2,MA03-2,PIN HEADER,,,unknown,unknown,,,,,
LED,DNP,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,,,,,,
LED1,DNP,LED3MM,LED3MM,LED,,,,,,,,,
LED2,,LEDCHIPLED_0603,CHIPLED_0603,LED,,,,,,,,,
N1,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
Q1,,CRYSTALTC26V,TC26V,CRYSTAL,,,unknown,unknown,,,,,
R1,1k,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R2,47k,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R3,1k0,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R4,10k,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R5,10k,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R6,10k,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
R7,1k0,R-EU_R0603,R0603,"RESISTOR, European symbol",,,,,,,,,
S1,MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE,MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE,TACTILE_SWITCH_PTH_RIGHT_ANGLE,Momentary Switch (Pushbutton) - SPST,,,,,,CONN-10672,COM-10791,,
SCL,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
SDA,,SMD2,"SMD1,27-2,54",SMD PAD,,,,,,,,,
SV1,,MA06-1,MA06-1,PIN HEADER,,,unknown,unknown,,,,,
SV3,,MA06-1,MA06-1,PIN HEADER,,,unknown,unknown,,,,,
U1,ATMEGA328P-AU,ATMEGA328P-AU,QFP80P900X900X120-32N,8-bit Microcontroller with In-System Programmable Flash,,ATMEGA328P-AU,1715486,14R4631,TQFP-32,,,,Atmel
U2,RFM95,RFM95,RFM95/96,Low Power Long Range Transceiver Module. The RFM95/96/97/98(W) transceivers feature the LoRaTM long range modem that provides ultra-long range  spread spectrum communication and high interference immunity whilst minimising current consumption.,,,,,,,,,
U3,HTU21D,HTU21D,DFN-6-3X3-HTU21D,Measurement Specialties HTU21D Relative Humidity Sensor w/ Temperature,,,,,,IC-11793,,,
X1,BU-SMA-V,BU-SMA-V,BU-SMA-V,FEMALE SMA CONNECTOR,,,unknown,unknown,,,,,
